txn_id,from_acc,to_acc,amount
1,1,2,800
2,2,3,3500
3,3,4,4200
4,4,5,7000
5,5,6,5500
6,6,7,2400
7,7,8,3200
8,8,9,4600
9,9,10,9000
10,10,11,4700
11,11,12,5500
12,12,13,6700
13,13,14,2800
14,14,15,2100
15,15,16,6400
16,16,17,5600
17,17,18,7900
18,18,19,5000
19,19,20,3300
20,20,21,6900
21,21,22,2500
22,22,23,7300
23,23,24,800
24,24,25,6500
25,25,26,900
26,26,27,9400
27,27,28,3000
28,28,29,6700
29,29,30,7700
30,30,31,5200
31,31,32,4200
32,32,33,8900
33,33,34,9900
34,34,35,7300
35,35,36,2500
36,36,37,8900
37,37,38,1800
38,38,39,7000
39,39,40,3100
40,40,41,5100
41,41,42,4200
42,42,43,2800
43,43,44,6000
44,44,45,800
45,45,46,8400
46,46,47,7600
47,47,48,3800
48,48,49,3500
49,49,50,5400
50,50,51,2800
51,51,52,6100
52,52,53,3100
53,53,54,8200
54,54,55,1600
55,55,56,2600
56,56,57,6800
57,57,58,7800
58,58,59,9400
59,59,60,8800
60,60,61,7700
61,61,62,4400
62,62,63,7900
63,63,64,5400
64,64,65,7200
65,65,66,9000
66,66,67,8400
67,67,68,5900
68,68,69,4800
69,69,70,7400
70,70,71,8000
71,71,72,9500
72,72,73,3900
73,73,74,9800
74,74,75,7100
75,75,76,3300
76,76,77,7200
77,77,78,4600
78,78,79,2600
79,79,80,200
80,37,59,3070
81,22,76,7340
82,49,54,3100
83,14,33,1580
84,43,63,5640
85,45,26,3330
86,47,72,4240
87,20,34,5420
88,5,72,8470
89,77,47,9290
90,14,9,3680
91,63,76,7060
92,33,48,2190
93,62,11,5750
94,32,39,3750
95,15,72,8410
96,17,27,7180
97,54,8,9250
98,2,44,3710
99,35,56,7100
100,2,23,5810
101,67,23,5220
102,47,21,9920
103,44,17,240
104,7,19,7050
105,5,33,1400
106,67,9,2820
107,29,1,3470
108,75,46,2950
109,76,45,2580
110,11,59,7730
111,46,20,9820
112,75,45,4770
113,54,30,6210
114,76,53,3680
115,58,22,8040
116,53,62,7470
117,42,60,9040
118,61,19,4740
119,11,71,2690
120,30,56,9460
121,54,78,870
122,2,48,2390
123,47,67,2610
124,50,73,4320
125,54,9,6950
126,33,73,5370
127,58,20,6300
128,12,73,7570
